Transaction Date,Details,Account,Category,Subcategory,Notes,Debit,Credit,Balance,Original Description
02-11-2022,Taylor Ltd,Transaction Account,Income,Salary,Hit firm toward since.,,763.59,40543.59,West put page forget.
07-08-2022,"Morris, Hudson and Williams",Transaction Account,Transportation,Public Transit,Part job almost executive agency dark technology.,193.76,,27029.54,Response offer use they perhaps.
07-09-2022,Rodriguez Inc,Transaction Account,Travel,Travel Entertainment,Policy wrong bit never.,509.55,,46349.75,Shoulder share level western happy.
16-02-2023,Hoffman-Murphy,Transaction Account,Gifts & Donations,Gifts,Leader question meet morning difference add democratic.,506.72,,11455.56,Hair at project bit again reduce guy.
18-04-2023,Rangel Group,Transaction Account,Financial,Direct Debits,Teach attack every open.,445.9,,45434.06,Science first sense might minute wish.
10-09-2022,Hicks Inc,Transaction Account,Insurance,Financial Insurance,Prevent population special risk if on.,388.06,,18464.99,Next ground TV speech.
30-10-2022,Simpson-Munoz,Transaction Account,Financial,Transfers,Spring knowledge off.,364.3,,40624.37,Budget part compare true pay call tough certainly.
22-04-2023,Jacobs Ltd,Transaction Account,Financial,Transfers,Church require themselves wife dog.,426.48,,33825.35,Body course drug.
13-09-2022,Melton-Parker,Transaction Account,Education,Stationery,Hot next drive detail determine environment could.,151.44,,14018.99,General audience three spring of claim.
06-01-2023,"Johnson, Diaz and Henderson",Transaction Account,Health & Medical,Pharmacies,Forward too rather worry.,767.09,,47181.17,Stage modern resource ahead business sit.
08-03-2023,"Clark, Hicks and Collins",Transaction Account,Financial,Direct Debits,Bit our without follow let fall generation worry.,80.9,,45255.13,Over room occur eight space debate.
28-06-2022,"Hoover, Gentry and Cherry",Transaction Account,Financial,Direct Debits,Off avoid very.,779.56,,47645.07,North skin energy whose recent.
31-12-2022,Goodwin-Wood,Transaction Account,Services,Government,Condition coach professional would.,631.39,,18612.25,Participant central choose company blood light ask to.
11-02-2023,"Davis, Benson and Johnson",Transaction Account,Home,Furnishings,Evidence interest page including almost that station my.,532.57,,10339.98,Its message husband fast once she require.
05-06-2022,"Marshall, Rodriguez and Gilmore",Transaction Account,Home,Furnishings,Yeah star medical despite far.,624.63,,26007.5,Film week can white issue role.
02-12-2022,"Bradley, Nguyen and Griffin",Transaction Account,Home,Furnishings,Detail everyone result.,67.12,,38657.68,Quite reduce bit professor on keep look describe.
20-05-2023,"Henson, Schroeder and King",Transaction Account,Insurance,Financial Insurance,Impact area window wear area floor.,495.75,,19085.43,Example work radio international standard treatment.
12-05-2023,Waters-Hall,Transaction Account,Education,Stationery,Pay service foreign yourself per blood.,70.8,,19659.98,Blue civil medical major age.
08-10-2022,Smith-Wheeler,Transaction Account,Gifts & Donations,Gifts,Best under once hand single.,128.16,,13916.93,Cell civil book rather green end.
23-09-2022,Campbell Ltd,Transaction Account,Health & Medical,Eyes,Move get common this security what skin her.,498.39,,34953.06,Myself kind fight which voice capital.
16-05-2023,Anderson and Sons,Transaction Account,Utilities,"Electricity, Gas & Water",Say red talk student assume PM score.,215.82,,24891.6,Feeling million oil four various vote relationship.
18-06-2022,Lawrence-Smith,Transaction Account,Transportation,Parking & Tolls,Other move dark bag one life.,401.28,,27423.83,Material per require really why however foot special.
02-08-2022,Foster Group,Transaction Account,Insurance,Financial Insurance,Do certain couple left plant red usually record.,791.59,,40577.12,Color able worker decide collection generation mention.
21-05-2023,"James, Lane and Ballard",Transaction Account,Gifts & Donations,Gifts,War movie national call could page.,108.12,,39064.95,Write key present girl compare stock choice.
14-11-2022,"Morgan, Washington and Wallace",Transaction Account,Insurance,Financial Insurance,Defense discover magazine understand without.,795.9,,43007.1,Film out indeed.
14-04-2023,"Martinez, Williams and Matthews",Transaction Account,Transportation,Public Transit,Audience strong fly lose assume.,62.46,,28963.81,Garden culture defense degree cold series.
10-06-2022,Smith-Clark,Transaction Account,Leisure,Games,No loss party fire service nice.,136.24,,17391.94,Blood we education what court.
24-04-2023,Mcclure LLC,Transaction Account,Food & Drink,Restaurants,Record should most hand weight which.,689.81,,40259.89,Yes address memory glass simple voice cup.
07-06-2022,"Walters, Avila and Pierce",Transaction Account,Education,Stationery,Establish whose down election main they inside room.,238.76,,45858.03,Red citizen her protect nation test.
17-09-2022,"Tanner, Mora and Fernandez",Transaction Account,Leisure,Music,Wall kid training simply create into during.,148.51,,19758.73,Indeed work sea girl case turn television.
25-12-2022,Obrien Ltd,Transaction Account,Travel,Travel Entertainment,System doctor policy career finally.,715.33,,38292.94,White listen treatment natural method music step.
09-03-2023,Kim-Gonzalez,Transaction Account,Health & Medical,Pharmacies,Stuff company according dinner official day force you.,378.66,,27460.88,Skin image hand.
24-12-2022,Harris-Hughes,Transaction Account,Health & Medical,Eyes,Local research deal recent suddenly.,268.88,,34698.25,Two be ground event help record scientist.
04-09-2022,Perry-King,Transaction Account,Insurance,Financial Insurance,Friend under front organization crime.,230.48,,31400.75,Yeah dinner even trial.
17-05-2023,"Garcia, Everett and Marks",Transaction Account,Travel,Accommodation,Energy chance agency glass war rich.,775.41,,19366.48,Modern your service voice eye.
24-09-2022,"Reynolds, Ponce and Smith",Transaction Account,Personal,Other Personal Expenses,Green foot also few price beat.,712.87,,12962.65,Serve report need past idea to ready.
05-07-2022,Brown Group,Transaction Account,Personal,Other Personal Expenses,Everything laugh artist body out store attorney.,609.48,,27881.39,Phone far consumer seek coach thought.
02-03-2023,Brooks LLC,Transaction Account,Utilities,Phone,Bar interview federal skill a.,736.01,,22236.24,Special week knowledge.
19-02-2023,Simpson-Harris,Transaction Account,Utilities,Phone,Green wrong give ball only already body compare.,23.92,,36323.94,Claim sort sense community behind certainly mention.
09-11-2022,Davila-Harrell,Transaction Account,Transportation,Parking & Tolls,Pull natural for learn end.,457.22,,31186.26,Memory indeed who.
19-04-2023,"Ortega, Hamilton and Jones",Transaction Account,Services,Government,First great everybody change wide.,642.63,,24053.02,Board community another parent.
06-04-2023,"Ferguson, Smith and Sherman",Transaction Account,Personal,Other Personal Expenses,Protect occur price under book.,235.67,,13296.78,Direction anyone activity audience least sound adult.
26-03-2023,"Neal, Mccarthy and Meyer",Transaction Account,Income,Salary,Become quite clearly seek say walk.,,785.3,30474.27,Along sea force federal become newspaper.
16-12-2022,Parker PLC,Transaction Account,Leisure,Dance,Former short military.,404.3,,43709.33,Republican campaign save attention much later performance.
23-06-2022,Herman PLC,Transaction Account,Education,Stationery,Head father school party final manager.,777.52,,13031.27,Measure enter charge wife enjoy line around.
01-01-2023,Scott PLC,Transaction Account,Home,Furnishings,Author red push expect.,379.66,,15226.18,Realize week student.
19-01-2023,"Duncan, Chambers and Bennett",Transaction Account,Transportation,Fuel,Talk bag value for pretty pass.,262.71,,16426.5,Good cover character relate step office word.
26-12-2022,Adams PLC,Transaction Account,Education,Stationery,Production lot nature social less capital scene.,612.42,,18875.02,Myself blood full maybe true.
26-03-2023,"Bailey, Henry and Velazquez",Transaction Account,Income,Salary,Policy source plant film.,,803.75,35798.3,Kid company improve assume throw agent have.
19-07-2022,Thomas Inc,Transaction Account,Technology,Hardware,Standard final service he tonight ok team.,328.08,,18149.58,Need subject less pay simply staff affect.
20-10-2022,Smith PLC,Transaction Account,Education,Stationery,Magazine church send rule finally southern word.,605.16,,33238.73,Order price admit should car person.
17-04-2023,Curry Ltd,Transaction Account,Education,Stationery,Event general area black pressure must board democratic.,400.03,,44757.98,Address old specific your.
12-01-2023,Clark Inc,Transaction Account,Leisure,Music,Whether between tell teacher professor from.,606.4,,35776.93,Civil suffer world institution network.
20-09-2022,Salinas-Hunter,Transaction Account,Health & Medical,Other Health Expenses,Investment seem man.,431.7,,45689.4,City company guy determine explain likely project.
15-06-2022,Davis-Padilla,Transaction Account,Services,Marketing,Study Republican maintain science.,191.64,,28567.38,Mouth can give behavior.
04-08-2022,"Miller, Gray and Li",Transaction Account,Utilities,"Electricity, Gas & Water",Statement catch huge brother.,296.3,,48350.92,Remain experience nor in person box.
08-06-2022,Harrell-Garrett,Transaction Account,Travel,Accommodation,People seek local focus go election.,710.66,,10870.01,Remain someone traditional far responsibility.
02-01-2023,"Fernandez, Cross and Dillon",Transaction Account,Personal,Other Personal Expenses,Left for bad short peace answer which natural.,520.79,,22490.84,Defense firm step.
01-12-2022,Lewis LLC,Transaction Account,Gifts & Donations,Gifts,Create decide there official claim food.,235.68,,28038.67,Manage trial staff these wrong yourself.
09-04-2023,Fry Group,Transaction Account,Education,Stationery,Floor fast feeling financial.,163.57,,12506.48,Best often true push collection hand.
10-03-2023,"Rodriguez, Crane and Chang",Transaction Account,Insurance,Financial Insurance,Eye create know both chair keep ever.,636.3,,25488.89,Detail speech piece then defense before decade.
02-05-2023,Watson-Villegas,Transaction Account,Health & Medical,Eyes,Performance treat hope single its.,107.02,,24244.9,Animal job I view practice.
16-02-2023,"Alexander, Wallace and Baker",Transaction Account,Income,Salary,Both doctor training food tree young soldier.,,876.14,49021.56,Miss necessary nothing wear tonight when red agreement.
16-04-2023,"Munoz, Bonilla and Collins",Transaction Account,Income,Salary,Agree house cut whether man.,,983.58,45324.51,If last realize station.
07-04-2023,Kemp-Jones,Transaction Account,Leisure,Fun,Them whatever state many idea machine.,428.68,,33983.0,Fall would skill beat relate possible student.
30-09-2022,"Hawkins, Lyons and Holland",Transaction Account,Home,Furnishings,Rest president especially almost person huge recent.,101.42,,31554.81,Office near full happen join.
28-03-2023,"Dunn, Chan and Smith",Transaction Account,Transportation,Parking & Tolls,To stage discussion.,241.4,,38313.46,People movement term just feeling now summer.
06-04-2023,Fisher PLC,Transaction Account,Health & Medical,Pharmacies,While more trouble method somebody school.,24.02,,45746.93,Result decision miss sport.
08-09-2022,Barnes PLC,Transaction Account,Insurance,Financial Insurance,Second discover scientist information discuss.,17.39,,33419.7,Case create price.
05-02-2023,Walters Inc,Transaction Account,Transportation,Parking & Tolls,Six international real build its determine also.,193.39,,30322.94,Line state treat.
24-04-2023,"Guzman, Newman and West",Transaction Account,Leisure,Dance,Appear watch anything discover professional be continue.,20.08,,40240.82,Ask prepare entire list add my.
26-08-2022,Woods Group,Transaction Account,Technology,Hardware,Sister itself brother.,485.33,,25239.78,Just society draw possible song.
26-09-2022,"Sanders, Davis and Richards",Transaction Account,Home,Furnishings,From challenge tend call customer media.,415.87,,36427.21,Recently interesting ago industry send choose write.
21-05-2023,"Francis, Beasley and Wagner",Transaction Account,Technology,Online Services,Majority memory remember reach player up.,278.59,,46910.63,Political apply war.
05-10-2022,"Paul, Roman and Allison",Transaction Account,Gifts & Donations,Gifts,Address politics machine draw once recent.,78.6,,18644.4,Place daughter get paper.
25-05-2023,Kelley-Mendoza,Transaction Account,Food & Drink,Alcohol & Bars,According last during home foreign home.,585.35,,39669.21,Our senior movie above speak.
08-01-2023,"Hartman, Chapman and Fry",Transaction Account,Financial,Cash Withdrawals,Economic audience action purpose region.,747.43,,34466.28,Give peace number station above natural system Mr.
10-09-2022,Barton Ltd,Transaction Account,Personal,Clothing,Attention physical look among right hit bit.,354.24,,25406.75,Apply road imagine analysis inside her impact.
26-02-2023,Bates-Gonzalez,Transaction Account,Transportation,Parking & Tolls,Really put worry rather.,535.32,,48063.92,Know item music participant fast.
16-04-2023,Vincent Inc,Transaction Account,Personal,Clothing,Store wish exist special lawyer.,642.88,,46442.83,Somebody account lead join truth.
12-08-2022,Chung Group,Transaction Account,Education,Stationery,In produce medical word project.,45.24,,32527.48,President necessary usually use value free once listen.
09-06-2022,"Turner, Ramirez and Adams",Transaction Account,Gifts & Donations,Gifts,Second every pay less sometimes few.,105.47,,38603.9,Grow admit conference close people growth.
17-07-2022,Freeman Ltd,Transaction Account,Education,Stationery,Hand because speech boy.,366.35,,27919.3,Direction rise hold stage often camera raise key.
14-10-2022,Nicholson LLC,Transaction Account,Gifts & Donations,Gifts,Bill cup study building study.,380.08,,48393.82,Everyone sing loss administration source its official simply.
25-06-2022,Brown-Kennedy,Transaction Account,Education,Stationery,Population finish company.,34.3,,11008.19,Clearly team show offer.
19-02-2023,Le-Howell,Transaction Account,Utilities,Pay TV,Base make recently item body exactly.,601.64,,17591.39,Vote win both cause certain three huge.
28-07-2022,Davenport-Perez,Transaction Account,Gifts & Donations,Gifts,Those success color guy price Mr month.,284.17,,29051.81,White no example enough really.
21-09-2022,Benjamin-Williams,Transaction Account,Financial,Transfers,Area week organization last well.,748.74,,11108.27,Particular local six white southern open maintain soon.
30-12-2022,Pratt-Watts,Transaction Account,Personal,Clothing,Although with perhaps responsibility any set compare church.,235.69,,42990.86,Lead office daughter finally.
28-08-2022,Schmidt-Smith,Transaction Account,Technology,Online Services,Wish American build.,408.64,,47988.33,Case approach tell.
11-12-2022,Ford-Payne,Transaction Account,Leisure,Music,Throw draw fill region light often.,449.7,,39903.8,Fast option yet defense age.
09-12-2022,"Davis, Nelson and Thompson",Transaction Account,Education,Stationery,Often and perhaps cause report.,174.27,,20921.3,My form respond goal professional enter.
26-05-2023,Johnson PLC,Transaction Account,Technology,Software,Player whom Mr base behavior professor.,309.3,,17691.62,Southern sense writer west scientist somebody over hit.
19-03-2023,"Waters, Lopez and Oneal",Transaction Account,Food & Drink,Groceries,Magazine candidate threat time.,388.6,,14209.26,Line lawyer dream senior produce create purpose.
21-07-2022,Harper-Lynn,Transaction Account,Technology,Online Services,Argue Democrat project course participant.,756.4,,45165.82,Speech claim bring vote book never phone.
11-12-2022,Simmons PLC,Transaction Account,Utilities,Pay TV,Million board day American light page space.,2.89,,17878.6,Myself customer crime up author imagine although.
28-04-2023,"Roberts, Thompson and Martin",Transaction Account,Gifts & Donations,Gifts,Significant land for receive reach quickly continue occur.,394.98,,17190.56,Job me keep watch better.
26-02-2023,Williams-Montes,Transaction Account,Health & Medical,Pharmacies,Water over bed.,624.01,,18575.66,Network page drop.
18-09-2022,Bailey-Wood,Transaction Account,Financial,Transfers,Side nice media put single bad.,346.52,,33640.89,Meeting herself will garden school car.
04-12-2022,Pruitt-Lopez,Transaction Account,Leisure,Games,Theory spring loss or ten.,238.13,,13845.38,Real claim late traditional finally ball.
22-04-2023,"Morrison, Guzman and Clark",Transaction Account,Transportation,Parking & Tolls,Probably truth military campaign act fly citizen else.,548.02,,34913.12,Management remember herself realize now peace better.
23-08-2022,Jackson PLC,Transaction Account,Transportation,Public Transit,Approach how offer oil us but.,124.02,,11762.95,Hospital into others theory Democrat appear ground media.
30-01-2023,"Taylor, Martinez and Wilson",Transaction Account,Utilities,Pay TV,Whole agent happy service imagine behavior reason.,354.16,,23008.48,Heavy apply current serve ball too notice.
25-03-2023,Franklin Group,Transaction Account,Home,Furnishings,Think senior finally news.,442.66,,29504.53,Resource simply throw area increase two task.
27-06-2022,Townsend-Allison,Transaction Account,Utilities,Pay TV,Country picture approach us history.,463.91,,25970.18,Offer all hospital bed maintain manager nature.
26-09-2022,Tate-Miller,Transaction Account,Home,Furnishings,Doctor study concern style loss take industry once.,258.98,,34132.14,Democrat protect standard itself wife approach.
17-01-2023,"Chang, Harrington and Wilkinson",Transaction Account,Utilities,"Electricity, Gas & Water",Guess understand Congress receive.,239.92,,38411.68,Prove discussion bag method stand trial.
23-11-2022,Webb-Cole,Transaction Account,Technology,Hardware,Address pressure produce say game attack eat.,477.0,,36139.41,Man cost race Republican blood.
20-05-2023,"Stewart, Alexander and Guzman",Transaction Account,Transportation,Fuel,Bed run police but give car try number.,330.62,,32475.38,Really degree set them entire only.
14-05-2023,Gonzales and Sons,Transaction Account,Health & Medical,Other Health Expenses,Bar wear thing community.,422.36,,37193.49,Environmental fish safe leg always sport establish woman.
31-07-2022,"Brooks, Scott and Morrison",Transaction Account,Technology,Online Services,Feel western reason culture week.,475.61,,13759.22,Popular town data apply.
25-02-2023,Moore PLC,Transaction Account,Food & Drink,Restaurants,Class sea easy out industry.,745.99,,25727.5,Especially direction region people old red read.
16-08-2022,"Ford, Morris and Nelson",Transaction Account,Insurance,Financial Insurance,Country owner blood out individual teach pay own.,546.78,,14458.46,May election challenge.
30-06-2022,Washington and Sons,Transaction Account,Food & Drink,Restaurants,Church impact house such anyone home.,662.99,,42908.51,Certain likely ahead senior watch start center.
20-03-2023,"Perez, Smith and Lynch",Transaction Account,Transportation,Taxis,Phone large scientist brother open yes.,774.66,,31077.67,Area always positive soldier house security win condition.
26-01-2023,Hughes Inc,Transaction Account,Health & Medical,Pharmacies,Hope career discuss.,775.68,,47060.41,Matter sit happy stock.
07-02-2023,Kennedy-Williams,Transaction Account,Health & Medical,Other Health Expenses,Dog put president many history.,386.5,,31689.67,Turn that everyone finally democratic discover prove officer.
19-03-2023,"Copeland, Johnson and Turner",Transaction Account,Income,Salary,Even to dog truth upon along.,,574.8,25172.7,Property every behind others economic create.
25-04-2023,Peters-Oconnor,Transaction Account,Utilities,Pay TV,Everything scene notice week kid wrong buy.,789.2,,42024.08,International pattern it produce family there.
01-11-2022,Davis PLC,Transaction Account,Leisure,Movies,Business military system now say affect culture need.,666.62,,41397.89,Nothing benefit everything.
29-06-2022,Stephens-Wright,Transaction Account,Gifts & Donations,Gifts,Door rate not chance night.,481.52,,38617.18,Clear themselves near rather military like then ahead.
07-02-2023,Gibson PLC,Transaction Account,Financial,Cash Withdrawals,Sister garden someone site ready back history.,617.26,,19327.47,Hit any myself ok now land one.
06-03-2023,Mason PLC,Transaction Account,Insurance,Financial Insurance,Green right politics.,366.51,,28224.68,Language leg spend resource both model medical.
03-11-2022,"Christensen, Hansen and Sanchez",Transaction Account,Health & Medical,Eyes,Community available you certain wait baby.,721.23,,28294.37,Cup move and.
25-01-2023,Cook-Evans,Transaction Account,Leisure,Movies,Road similar often.,131.9,,49710.9,Rich worker next suffer race parent.
23-01-2023,"Reese, Wood and Cruz",Transaction Account,Travel,Flights,Sound hundred customer.,108.44,,16108.9,Foreign fill would get water.
14-11-2022,Walsh PLC,Transaction Account,Transportation,Taxis,Police travel support course store chance.,745.74,,22777.85,Trade enter audience.
15-02-2023,"Williamson, Hernandez and Duffy",Transaction Account,Services,Government,Entire thought tend society rather.,639.99,,33417.51,Effect small on dark already among.
16-07-2022,Woods Ltd,Transaction Account,Personal,Clothing,Fine four could those remain.,284.62,,27487.96,Data purpose week against PM study.
23-07-2022,Mcdonald-Diaz,Transaction Account,Insurance,Financial Insurance,Shoulder laugh by later citizen establish education.,669.8,,24067.56,Nature we sort blue senior seek total.
26-05-2023,"Lawrence, Murray and Jones",Transaction Account,Utilities,Pay TV,Campaign firm individual throughout soldier.,130.51,,35208.38,Appear hour season black challenge explain.
13-12-2022,King-Frey,Transaction Account,Personal,Other Personal Expenses,Sure gas character decision.,626.06,,48468.84,Number great analysis source everything.
09-08-2022,"Carroll, Jimenez and Higgins",Transaction Account,Home,Furnishings,Simply worry common impact response edge since cut.,543.83,,12553.7,Significant different recently event performance cover.
03-03-2023,Wilson Inc,Transaction Account,Health & Medical,Pharmacies,Affect similar attack station.,539.16,,16043.7,Whatever drive Mrs Mr.
03-10-2022,Torres-Perez,Transaction Account,Transportation,Fuel,Three father career one certain work.,649.49,,29300.96,Research million position.
11-02-2023,Sexton Inc,Transaction Account,Services,Marketing,Thing she from drive.,785.44,,22984.53,Mean wish son far start.
02-05-2023,"Crawford, Decker and York",Transaction Account,Gifts & Donations,Gifts,War take share alone difference project magazine.,511.9,,28750.85,Industry degree Congress writer language ball high.
17-02-2023,"Oliver, Phelps and Bailey",Transaction Account,Technology,Hardware,Machine like later argue scene set.,95.55,,40459.86,Enter result read choose individual.
20-10-2022,Jones LLC,Transaction Account,Health & Medical,Other Health Expenses,Book plant candidate instead line standard minute.,397.56,,38453.21,Base nor receive cold end weight.
05-12-2022,"Perez, Ray and Woods",Transaction Account,Education,Stationery,Hotel traditional put only environment economic result.,213.31,,37700.31,Actually over soldier admit road executive.
08-05-2023,"Jones, Lopez and Diaz",Transaction Account,Home,Furnishings,Anyone around course table learn professional husband.,553.65,,21353.65,Generation among serious human scientist.
23-07-2022,"Mitchell, Cardenas and Cardenas",Transaction Account,Financial,Cash Withdrawals,Role remember carry body.,584.01,,29331.92,Painting and movie miss.
16-12-2022,Moreno-Moore,Transaction Account,Travel,Tours & Cruises,Us meet when.,243.34,,29523.38,Mind project simply clear stay.
11-02-2023,Santiago-Peterson,Transaction Account,Travel,Flights,I last run know.,237.26,,40322.98,Law easy yeah check fight show.
14-07-2022,King-Garrett,Transaction Account,Personal,Clothing,Although young change imagine cause improve quality.,707.38,,30301.72,Court upon become official home.
03-03-2023,Caldwell PLC,Transaction Account,Home,Furnishings,Which economy happen future still wife center foot.,376.81,,13248.22,Opportunity collection popular particularly control this course stock.
15-04-2023,"Johnson, Russell and Robinson",Transaction Account,Personal,Other Personal Expenses,Class themselves before security leg lot.,305.69,,17742.15,Radio save Congress control clear heart improve bad.
18-02-2023,Costa Inc,Transaction Account,Food & Drink,Restaurants,Quite set out eat anyone.,167.85,,21605.12,Both name middle knowledge among use.
17-04-2023,"Dunn, Hicks and Anderson",Transaction Account,Insurance,Financial Insurance,Skill enter bag myself.,693.44,,43610.36,He picture goal third physical become water.
30-06-2022,Barker-Ayers,Transaction Account,Transportation,Public Transit,Couple bed produce history movie strong.,376.49,,14170.23,Ask rise prepare forward resource.
04-06-2022,Estrada and Sons,Transaction Account,Education,Stationery,Evidence serious my.,416.61,,26534.38,Usually police institution recently.
04-12-2022,Hernandez Ltd,Transaction Account,Health & Medical,Other Health Expenses,Land wife officer myself.,467.51,,10087.19,Us whether month head laugh pattern arm gas.
26-07-2022,Smith LLC,Transaction Account,Transportation,Parking & Tolls,Soon the bit score future either.,663.31,,11015.13,Yeah create leave successful approach here.
24-01-2023,"Jackson, Morris and Walker",Transaction Account,Food & Drink,Groceries,Table cell town what say only memory.,343.29,,47390.31,Clearly couple sure authority three fact budget.
15-01-2023,Williams Group,Transaction Account,Gifts & Donations,Gifts,Personal project strong leg nothing.,225.69,,31903.08,Ask cause society believe long hold friend.
06-01-2023,"Walker, Knapp and Bernard",Transaction Account,Travel,Accommodation,Article market kitchen base really air Mr.,70.47,,32987.65,Rule ready add leave not month down.
11-11-2022,Shaw PLC,Transaction Account,Transportation,Fuel,Add law southern me.,263.73,,23323.44,Seven member truth small itself theory.
03-11-2022,"Bryant, Stephens and Lopez",Transaction Account,Personal,Other Personal Expenses,Listen debate audience blue mouth.,465.9,,25307.23,Sometimes carry reveal ahead although day long.
09-08-2022,Cunningham LLC,Transaction Account,Personal,Clothing,Subject order natural dinner suggest.,650.04,,41758.76,Involve degree size also expect say child.
28-01-2023,Smith-Trevino,Transaction Account,Travel,Tours & Cruises,Way individual expect after stuff support fill fear.,679.6,,46601.21,Republican stuff such girl share.
19-11-2022,Shaw and Sons,Transaction Account,Health & Medical,Other Health Expenses,Serious pressure throw best five property.,43.19,,15394.36,Practice audience may actually how.
01-02-2023,Nichols and Sons,Transaction Account,Gifts & Donations,Gifts,Meet bill remember seven organization financial analysis new.,213.25,,19479.26,Art sea arm.
26-01-2023,"Hanna, Rodgers and Stewart",Transaction Account,Services,Marketing,Bit land woman threat prepare.,108.53,,14449.54,Step catch town staff town.
08-04-2023,Reyes LLC,Transaction Account,Travel,Travel Entertainment,Security never space hear.,156.9,,41458.62,Husband south something after attorney take see.
09-02-2023,Long-Moon,Transaction Account,Health & Medical,Other Health Expenses,Future back idea affect mission state level.,390.91,,43912.79,Be likely wrong who.
04-12-2022,"Chapman, Williams and Bell",Transaction Account,Travel,Accommodation,Agreement report official blood crime theory he.,782.94,,35155.76,Sign recently term.
31-10-2022,Gray Inc,Transaction Account,Utilities,Pay TV,North summer director special north give thousand.,39.81,,17114.9,A while fire find.
23-04-2023,"Barnes, Jones and Marshall",Transaction Account,Transportation,Taxis,Model form Republican financial.,645.3,,35968.43,Name smile tree over body star.
20-08-2022,Taylor and Sons,Transaction Account,Gifts & Donations,Gifts,Measure student over human ground.,84.43,,18199.45,Industry federal yard.
23-02-2023,"Rose, George and Fischer",Transaction Account,Travel,Accommodation,Voice at avoid everyone rich Congress case.,465.85,,45407.74,Week many skill consumer prove force situation ago.
03-03-2023,"Robinson, Baldwin and Wilson",Transaction Account,Technology,Online Services,Material job husband court side bank.,735.69,,17898.89,Board coach from case hard.
29-07-2022,Preston Inc,Transaction Account,Personal,Clothing,Affect shake culture consumer ago message without response.,70.94,,11686.76,Cost fall central increase despite senior me.
19-12-2022,Mcdonald and Sons,Transaction Account,Transportation,Public Transit,Ever clear once word difficult case beautiful.,524.39,,46581.36,Him throughout prepare season still others threat.
05-08-2022,Thomas-Wagner,Transaction Account,Food & Drink,Groceries,Key past pay leg.,793.32,,41426.04,Prepare couple indeed during message discuss.
04-10-2022,Lee-Rhodes,Transaction Account,Income,Salary,Media same deep rock.,,951.04,28922.43,So fact Congress body I perform.
16-09-2022,Vasquez-Maxwell,Transaction Account,Transportation,Fuel,Able concern art.,368.66,,26106.7,Sister who bad character rise within hope.
15-11-2022,Jones-Mccormick,Transaction Account,Insurance,Financial Insurance,Body rise everything four choose improve who.,641.98,,37020.38,Threat store this sport along standard else wish.
04-10-2022,Stevens-Dawson,Transaction Account,Technology,Software,Five discussion positive wide rich item station thought.,504.0,,31372.71,Stuff sell forward while per claim be.
17-09-2022,Parrish Group,Transaction Account,Education,Stationery,Enjoy itself region care.,696.09,,46669.17,On way small somebody it address manager evidence.
03-03-2023,"Paul, Peterson and Pierce",Transaction Account,Education,Stationery,Make participant for difference as own exist.,206.34,,12173.04,Customer hear measure customer lead responsibility actually.
08-08-2022,Livingston-Walter,Transaction Account,Utilities,"Electricity, Gas & Water",Thus decade consumer push glass product pattern detail.,210.08,,32047.87,Hold bed culture question spring.
15-03-2023,White-Johnson,Transaction Account,Personal,Clothing,Difference draw although school.,753.0,,34223.59,Soon will method record work.
07-09-2022,"Johns, Cox and Norris",Transaction Account,Insurance,Financial Insurance,Ahead dinner foot.,559.54,,22477.78,Us fund degree so.
24-07-2022,Richardson-Park,Transaction Account,Insurance,Financial Insurance,Fact dinner field mean direction.,131.57,,47026.28,Big director series interview never.
31-10-2022,Jackson-Reyes,Transaction Account,Income,Salary,Eye travel close policy look cover visit.,,586.59,15783.78,Factor professor up hospital his former marriage its.
04-07-2022,Porter-Ramirez,Transaction Account,Personal,Clothing,Water image change happen state manager.,228.19,,31911.22,Open full control case rise together president per.
19-02-2023,Scott-Ho,Transaction Account,Leisure,Games,Heavy road benefit the.,599.27,,16378.93,Off as reason condition as people.
29-11-2022,Hall-Schaefer,Transaction Account,Utilities,Pay TV,Quickly voice south.,735.4,,33051.81,Imagine according sense player affect report.
29-08-2022,Hall-Hoover,Transaction Account,Travel,Flights,Hear age watch low worry this training to.,618.22,,34913.88,Field why maintain officer.
30-10-2022,Bridges PLC,Transaction Account,Food & Drink,Alcohol & Bars,Wear accept article performance go.,152.69,,19016.84,Owner that investment.
30-10-2022,"Romero, Jordan and James",Transaction Account,Health & Medical,Pharmacies,Near son realize pull few affect bring friend.,742.81,,22573.29,Audience high them wonder result try.
09-04-2023,Parker-Turner,Transaction Account,Utilities,Phone,Adult field free reach fast cause.,720.97,,21239.54,Expert indeed treatment wife value body.
26-08-2022,Mora-Castillo,Transaction Account,Leisure,Music,Indeed lose participant fill threat.,466.18,,27311.63,Around or any several.
19-01-2023,Davenport Inc,Transaction Account,Insurance,Financial Insurance,Weight than mean policy.,472.96,,41769.5,Every chance husband success control whether almost.
01-05-2023,Jackson-Carter,Transaction Account,Leisure,Movies,Apply painting recent total magazine wife collection.,187.41,,37344.45,Focus charge peace arm water.
23-04-2023,Carlson-Ray,Transaction Account,Travel,Tours & Cruises,Senior attorney positive throw perform suggest.,694.39,,16554.42,Letter morning forward ball check later.
16-06-2022,Delacruz Ltd,Transaction Account,Utilities,Phone,Skin music others also.,349.29,,48359.22,Significant food throughout scene former day.
